"adre_a","artesania","codi_postal","coeducaci","comarca","comunicaci_societat_de_la","cultura_i_arts","demarcaci_territorial","diversitat_funcional","dones_grans","drets_humans_i_cooperaci","drets_sexuals_i_reproductius","ecofeminismes","economia_feminista","email","emprenedoria_i_direcci_d","esports","fax","inserci_laboral_i_ocupaci","interculturalitat_i_migraci","jur_dic_legal","lgtbi","lleure","m_n_rural","municipi","organisme","pensaments_feministes_i","promoci_d_activitats_i","salut","sororitat_i_ajuda_m_tua","tel_fon","tipus","treball_de_cura","treball_sexual","viol_ncies_masclistes","web"
"C. Barcelonesa, 1, 4t 2a","No","08030","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","donallum@donallum.org","No","No",,"No","No","No","No","No","No","Barcelona","Dona Llum, Associació Catalana per un Part Respectat","No","No","Sí","No","687 96 95 04","Associacions/grup","Sí","No","No","http://www.donallum.org/"
"Rambla Santa Mònica, 10","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","caps@pangea.org; redcaps@pangea.org;","No","No","93 322 65 54","No","No","No","No","No","No","Barcelona","Dona, Salut i Qualitat de Vida del CAPS","No","No","Sí","No","93 322 65 54","Associacions/grup","No","No","No","http://www.caps.cat;"
"C. de Pablo Picasso, 38, baixos","No","08304","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","presidencia@donatunimpuls.com; info@donatunimpuls.com","Sí","No",,"No","No","No","No","No","No","Mataró","Dona't un Impuls. Associació de Dones Empresàries i Emprenedores","No","No","No","No","654 956 398","Associacions/grup","No","No","No","www.donatunimpuls.com"
"Av. Carrilet, 29 (Centre Cívic Carrilet)","No","43205","No","Baix Camp","No","Sí","Tarragona","No","No","No","No","No","No","amat13@hotmail.com","No","No",,"No","No","No","No","No","No","Reus","Dones 2000","No","No","No","No","977753797","Associacions/grup","No","No","No",
"C. Clos, 42, 2n","No","08700","No","Anoia","No","No","Barcelona","No","No","No","No","No","No","donesambempenta@dae.cat","No","No",,"No","No","No","No","Sí","No","Igualada","Dones amb Empenta","No","No","No","No","93 804 54 82","Associacions/grup","No","No","Sí",
"C. Rambla Ferran, 23, 2n 2a","No","25007","No","Segrià","No","No","Lleida","No","No","No","No","No","No","donesicvterreslleida@gmail.com","No","No","973 23 51 15","No","No","No","No","No","No","Lleida","Dones amb Iniciativa de les Terres de Lleida","No","No","No","No","973 23 56 12","Associacions/grup","No","No","No","http://www.donesambiniciativa.com"
"Apartat de Correus 38","No","08800","No","Garraf","No","No","Barcelona","No","No","No","No","No","No","costagramunt@gmail.com","No","No",,"No","No","No","No","No","No","Vilanova i la Geltrú","Dones Artistes Som 7","No","Sí","No","No","93 814 08 13","Associacions/grup","No","No","No",
"C. de Sant Francesc, 54 D","No","08530","No","Vallès Oriental","No","No","Barcelona","No","No","No","No","No","No","donesdaralg@hotmail.com","No","No",,"No","No","No","No","Sí","No","La Garriga","Dones d'Ara de la Garriga","No","No","No","No","93 871 62 31","Associacions/grup","No","No","No","http://www.donesdaralg.entitats.lagarriga.cat/"
"Passeig Romeu, 16","No","17240","No","Gironès","No","No","Girona","No","No","No","No","No","No","mmasdev4@xtec.cat;mcampr26@xtec.cat","No","No",,"No","No","No","No","No","No","Llagostera","Dones d'Arreu","No","Sí","No","No","660048856","Associacions/grup","No","No","No","http://blogs.elpunt.cat/donesllagostera/"
"Pl. Pere Aldavert, 4","No","08230","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","dama.bustia@gmail.com","No","No","93 730 06 00","No","No","No","No","No","No","Matadepera","Dones d'Avui de Matadepera (DAMA)","No","Sí","No","No","606 450 110","Associacions/grup","No","No","No","http://www.dama.matadeperaentitats.cat"
"C. Latorre, 81, local 1","No","08206","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 725 29 98","No","No","No","No","No","No","Sabadell","Dones d'Avui de Sabadell","No","Sí","No","No","93 725 28 00","Associacions/grup","No","No","No",
"C. Providència, 42, 1r","No","08024","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","correu@donesavui.cat","No","No",,"No","No","No","No","Sí","No","Barcelona","Dones d'Avui per Catalunya","No","Sí","No","No","93 280 37 60","Associacions/grup","No","No","No","http://www.donesavui.cat/"
"Ctra. de Castellet, 17, 2n","No","08670","No","Bages","No","No","Barcelona","No","No","No","No","No","No","guitartft@navas.cat","No","No","93 839 00 22","No","No","No","No","No","No","Navàs","Dones d'Avui per Navàs","No","Sí","No","No",,"Associacions/grup","No","No","No",
"Av. Verge de Montserrat, 20","No","17400","No","Selva","No","No","Girona","No","No","No","No","No","No","correu@donesdebreda.org","No","No","972 87 03 76","No","No","No","No","Sí","No","Breda","Dones de Breda","No","Sí","No","No","972 87 09 04","Associacions/grup","No","No","No",
"Ctra. de Juià, 46","No","17460","No","Gironès","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Celrà","Dones de Celrà","No","No","No","No",,"Associacions/grup","No","No","No",
"Riera de Sant Pere, 147","No","08338","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","donesdedalt@gmail.com","No","No",,"No","No","No","No","Sí","No","Premià de Dalt","Dones de Dalt - Secció de la Societat Cultural Sant Jaume","No","Sí","No","No","93 751 69 10","Associacions/grup","No","No","No","http://www.donesdedalt.cat/"
"C. Ponent, s/n (Casal Cívic La Mina)","No","08930","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","consumaldo@hotmail.es; consolarocarivera@gmail.com","No","No",,"No","No","No","No","Sí","No","Sant Adrià de Besòs","Dones de Futur","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Francesc Bastos, 19","No","43005","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","dones.casa.mar@gmail.com","No","No","977 24 29 05","No","No","No","No","Sí","No","Tarragona","Dones de la Casa del Mar de Tarragona","No","No","No","No","977 24 27 38","Associacions/grup","No","No","No",
"C. d'Ignasi Mas Morell, 12, 1r 2a","No","08395","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","donesdelavallalta@gmail.com","No","No",,"No","No","No","No","No","No","Sant Pol de Mar","Dones de la Vallalta","No","No","No","No","654 803 851","Associacions/grup","No","No","No","http://donesdelavallalta.blogspot.com.es/"
"C. Progrés, 40, 3r","No","08904","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","associaciosuportm3@hotmail.es","No","No","93 449 53 32","No","No","No","No","No","No","L'Hospitalet de Llobregat","Dones de l'Associació M3 Serveis Socials","No","No","No","No","93 449 53 32","Associacions/grup","No","No","Sí","http://www.associaciosuportm3.net"
"C. de les Orquídies, 7","No","08700","No","Anoia","No","No","Barcelona","No","No","No","No","No","No","donestardesdimecres@hotmail.com","No","No","93 804 65 51","No","No","No","No","No","No","Igualada","Dones de les Tardes dels Dimecres d'Igualada","No","No","No","Sí","93 803 52 40","Associacions/grup","No","No","No","http://donestardesdimecres.blogspot.com"
"C. Alcalde Moix, 24","No","08207","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Sabadell","Dones de Torreguitart","No","No","No","No",,"Associacions/grup","No","No","No",
"C. Junta de Comerç, 17, entl. 1a","No","08001","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","donesdevol@hotmail.com","No","No",,"No","No","No","No","No","No","Barcelona","Dones de Vol","No","No","No","Sí","93 527 50 05","Associacions/grup","Sí","No","Sí","http://www.donesdevol.org/"
"C. Albareda, 3-5 (Centre Social Barri Vell)","No","17004","No","Gironès","No","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Girona","Dones del Barri Vell","No","No","No","Sí","972 21 37 88","Associacions/grup","No","No","No",
"C/ Cos, 3","No","25740","No","Noguera","No","No","Lleida","No","No","No","No","No","No","cincasole@gmail.com","No","No",,"No","No","No","No","Sí","No","Ponts","Dones del Mig Segre -DOMISE-","No","No","No","No","653720640","Associacions/grup","No","No","No",
"C. Covadonga 2-4, baixos","No","08918","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Badalona","Dones del Mil.lenni","No","No","No","No","93 387 43 60","Associacions/grup","No","No","No",
"C. Sagrat Cor, 10, 1r 3a","No","08034","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No",,"No","No",,"No","Sí","No","No","No","No","Barcelona","Dones del Món a Barcelona","No","No","No","No","607 94 57 51","Associacions/grup","No","No","No",
"C. de l'Àncora, 3","No","08800","No","Garraf","No","No","Barcelona","No","No","No","No","No","No","info@donesdempresa.cat","Sí","No","93 810 67 01","No","No","No","No","No","No","Vilanova i la Geltrú","Dones d'Empresa (Associació d'Empresaris de l'Alt Penedès, el Baix Penedès i el Garraf ADEG)","No","No","No","No","902 10 67 00","Associacions/grup","No","No","No","http://www.donesdempresa.cat"
"C. Feliu i Codina, 20 (Centre Cívic)","No","08031","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","olga.uribe@yahoo.es","No","No","93 420 72 28","No","No","No","No","Sí","No","Barcelona","Dones d'Horta","No","No","No","No","93 407 23 56","Associacions/grup","No","No","No",
"Carrer Avinyó, 44 principal 1a","No","08012","No","Barcelonès","No","Sí","Barcelona","No","No","No","No","No","No","donesenxarxa@donesenxarxa.cat","No","No","93 237 50 17","No","No","No","No","Sí","No","Barcelona","Dones en Xarxa","No","No","No","No","629626091","Associacions/grup","No","No","No","http://www.donesenxarxa.cat"
"C. Eduardo Conde, 22-42 (C.C. Sarrià)","No","08034","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","dones_fem@hotmail.com","No","No","93 256 27 24","No","No","No","No","Sí","No","Barcelona","Dones Fem","No","No","No","No","93 256 27 20","Associacions/grup","No","No","No","http://donesfem.blogspot.com/"
"Pl. de les Escoles Velles, 1 (Hotel d'entitats)","No","08630","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","donesifutur@aabrera.com","No","No",,"No","No","No","No","Sí","No","Abrera","Dones i Futur","No","No","No","No","680 541 546","Associacions/grup","No","No","No","http://www.aabrera.com/html2/public/entitats?id=239"
"C. Sant Jeroni, 1-3","No","08921","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Santa Coloma de Gramenet","Dones Joves - Casal de Joves","No","No","No","No","93 385 05 50","Associacions/grup","No","No","No",
"C. Ripoll, 25","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@donesjuristes.cat","No","No","93 532 10 20","No","No","Sí","No","No","No","Barcelona","Dones Juristes","No","No","No","No","93 322 06 17","Associacions/grup","No","No","Sí","http://donesjuristes.cat/"
"C. Nou de Sant Pere, 36","No","08221","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Terrassa","Dones més informades, més sàvies, més justes","No","Sí","No","No",,"Associacions/grup","No","No","No",
"Pl. de la Renaixença, s/n (Centre Cívic)","No","17841","No","Gironès","No","No","Girona","No","No","No","No","No","No","donesmesquemai@gmail.com","No","No",,"No","No","No","No","No","No","Sarrià de Ter","Dones Més que Mai","No","Sí","No","No","972 17 07 14","Associacions/grup","No","No","No",
"Rbla. de Catalunya, 45, 1a","No","08007","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","donesmundi@gmail.com;ang@icab.cat","No","No","93 209 78 07","No","No","No","No","Sí","No","Barcelona","Dones Mundi","No","No","No","No","93 215 14 25","Associacions/grup","No","No","No",
"C. Sant Antoni Maria Claret, 31, entl. 1a","No","08025","No","Barcelonès","No","No","Barcelona","Sí","No","No","No","No","No","donesnoestandards@hotmail.com;mcarmeriu@hotmail.com","No","No",,"No","No","No","No","Sí","No","Barcelona","Dones No Estàndar (Donnes)","No","No","No","No","93 458 45 97","Associacions/grup","No","No","Sí","http://www.donesnoestandards.cat"
"Av. del Baix Llobregat, 50","No","08690","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","associaciodones4cantons@gmail.com","No","No",,"No","No","No","No","Sí","No","Santa Coloma de Cervelló","Dones pels Quatre Cantons","No","No","No","No","93 634 02 06","Associacions/grup","No","No","No","http://www.donespels4cantons.org/"
"C. Providència, 42","No","08024","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Barcelona","Dones per a la Cultura","No","No","No","No","93 458 82 20","Associacions/grup","No","No","No",
"C. Barcelona, 49, 3r","No","08600","No","Berguedà","No","No","Barcelona","No","No","No","No","No","No","a.donesbergueda@gmail.com","No","No","93 822 09 55","No","No","No","No","Sí","No","Berga","Dones per al Desenvolupament Social, Rural i Cultural del Berguedà","No","No","No","No","93 821 35 53","Associacions/grup","No","No","No",
"Rbla. de Sant Jordi, 2-4 (Centre Cultural)","No","08291","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","anumas60@hotmail.com","No","No",,"No","No","No","No","No","No","Ripollet","Dones per la Igualtat de Ripollet","No","No","No","No",,"Associacions/grup","No","No","No",
"C. de la Marina, 315","No","08025","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","secretariat@assemblea.cat;dones@assemblea.cat","No","No",,"No","No","No","No","No","No","Barcelona","Dones per la Independència. Sectorial de Dones de l'Assemblea Nacional Catalana","No","No","No","No","93 347 17 14","Associacions/grup","No","No","No",
"C. València, 306, pral. 1a","No","08037","No","Barcelonès","No","No","Barcelona","No","No","Sí","No","No","No","info@doneslid.org","Sí","No","93 487 72 67","No","No","No","No","No","No","Barcelona","Dones per la Llibertat i la Democràcia","No","No","No","No","93 487 72 67","Associacions/grup","No","No","No","http://www.doneslid.org"
"C. Jacint Verdaguer, 100, baixos","No","08272","No","Bages","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","Sí","No","Sant Fruitós de Bages","Dones per Sant Fruitós","No","No","No","No","615 280 049","Associacions/grup","No","No","No",
"Rbla. de Catalunya, 10","No","08007","No","Barcelonès","Sí","No","Barcelona","No","No","No","No","No","No","adpc@adpc.cat; laionsv@yahoo.es","No","No","93 317 83 86","No","No","No","No","No","No","Barcelona","Dones Periodistes de Catalunya","No","No","No","No","93 412 46 56","Associacions/grup","No","No","No","http://www.adpc.cat"
"C. de l'Arquebisbe Creus, 1 esc. E, 3r 2a","No","08301","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","leacornellana@gmail.com","No","No",,"No","No","No","No","No","No","Mataró","Dones Reporteres de Mataró","No","Sí","No","No",,"Associacions/grup","No","No","Sí","http://donesreporteresdemataro.blogspot.com.es/"
"C. de Santa Teresa, 49","No","08328","No","Maresme","No","No","Barcelona","No","No","No","No","No","No","dones.solialella@movistar.es","No","No",,"No","No","No","No","No","No","Alella","Dones Solidàries d'Alella","No","Sí","No","No","616 958 354","Associacions/grup","No","No","No","http://www.donessolidariesalella.cat"
"Sant Pere més Baix, 7","No","08003","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","yolanda@donesvisuals.cat","No","No",,"No","No","No","No","No","No","Barcelona","Dones Visuals (Associació Promotora de Dones Cineastes i de Mitjans Audiovisuals de Catalunya)","No","No","No","No","619 084 701","Associacions/grup","No","No","No","https://www.donesvisuals.cat/"
"C. de Ripoll, 25","No","08002","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","caps@pangea.org","No","No",,"No","No","No","No","No","No","Barcelona","Dones x Dones (per la Pau)","No","Sí","No","No","93 412 71 61","Associacions/grup","No","No","No",
"C. Major, 14 (Cal Pere Vell)","No","08859","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","dones.begues@gmail.com;baros@coac.net","No","No",,"No","No","No","No","Sí","No","Begues","Dones, Associació de Dones de Begues","No","No","No","No","607951354","Associacions/grup","No","No","No",
"Via Laietana 33, 6è 1a","No","08003","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","lmoret@santboi.cat;m.gris@fmc.cat","No","No","93 310 71 03","No","Sí","No","No","No","No","Barcelona","Drets Socials-Polítiques per a la Igualtat de Gènere. Federació de Municipis de Catalunya","No","No","No","No","93 310 44 04","Associacions/grup","No","No","Sí","http://www.fmc.cat"
"C. Onze de Setembre, 31 A","No","17007","No","Gironès","Sí","No","Girona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Girona","E-kre@ (Les TIC al servei de la inclusió, l'educació i la cultura)","No","No","No","No","686 609 111","Associacions/grup","No","No","No","http://www.ekrea.org/"
"C. del Mestre Güell, 4, 1r","No","43711","No","Baix Penedès","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Banyeres del Penedès","El Farcell, Col·lectiu de Dones de Banyeres del Penedès","No","No","No","No","977 16 75 49","Associacions/grup","No","No","No",
"Av. de les Drassanes, 27, baixos","No","08001","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","info@llocdeladona.org","No","No",,"Sí","No","No","No","No","No","Barcelona","El Lloc de la Dona - Germanes Oblates de Barcelona","No","No","No","No","93 441 28 09","Associacions/grup","No","Sí","Sí","http://www.llocdeladona.org"
"C. Oleguer Miró, 36, baixos","No","08240","No","Bages","No","No","Barcelona","No","No","No","No","No","No","norddona@gmail.com","No","No","93 874 44 58","No","No","No","No","Sí","No","Manresa","El Nord de la Dona","No","No","No","No","93 874 44 58","Associacions/grup","No","No","No","http://www.elnorddeladona.jimdo.com"
"C. Iglesies, 27","No","08228","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","bodaabril12@hotmail.com","No","No",,"No","No","No","No","Sí","No","Les Fonts (St. Quirze del Vallès)","El Racó de la Dona","No","No","No","No","93 731 79 46","Associacions/grup","No","No","No",
"C. de les Vinyes, 11 C","No","08290","No","Vallès Occidental","No","No","Barcelona","No","No","No","Sí","No","No","safareig@safareig.org; monicaaranda@safareig.org","No","No","93 691 99 99","No","No","No","No","No","No","Cerdanyola del Vallès","El Safareig, Grup de Dones Feministes de Cerdanyola","Sí","No","No","No","93 692 31 87","Associacions/grup","No","No","Sí","http://safareig.pangea.org/"
"C. Riereta, 4","No","08830","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","dorissoria5@hotmail.com; emiasociacion@hotmail.com","No","No",,"No","No","No","No","No","No","Sant Boi de Llobregat","EMI, Associació de Dones en contra de la Violència Familiar","No","No","No","Sí","93 652 98 40","Associacions/grup","No","No","No",
"C. de Sant Carles, 14","No","08923","No","Barcelonès","No","No","Barcelona","No","No","Sí","No","No","No","escibna@gmail.com","Sí","No","93 466 20 34","No","No","No","No","No","No","Santa Coloma de Gramenet","Empresàries de Santa Coloma de Gramenet i Barcelonès Nord Associades -ESCIBNA-","No","No","No","No","93 386 77 58","Associacions/grup","No","No","No","http://www.facebook.com/escibna"
"C. de Jaén, 16, 3r 2a","No","08012","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","fatousecka@cepaim.org","No","No","93 442 18 66","No","Sí","No","No","No","No","Barcelona","EQUIS -MGF- Equipo de Sensibilización sobre las Mutilaciones Genitales Femeninas","No","No","No","No","93 237 32 96","Associacions/grup","No","No","Sí",
"C. de la Vila, 6","No","17310","No","Selva","No","No","Girona","No","No","No","No","No","No","silviaperezprieto@gmail.com","No","Sí","972 37 26 02","No","No","No","No","No","No","Lloret de Mar","Es Vano de Lloret","No","No","No","No","972 36 95 10","Associacions/grup","No","No","No","http://www.esvano.com"
"C. Ramadà, 14","No","17180","No","Osona","No","No","Barcelona","No","No","No","No","No","No","escoladelapau@casalclaret.org","No","No",,"No","No","No","No","Sí","No","Vic","Escola de la Pau: Dones. Casal Claret","No","No","No","No","654 999 456 (250)","Associacions/grup","No","No","No","http://www.casalclaret.org/que-fem/escola-de-la-pau-dones/"
"C. Canonge Joncar, 122 D","No","08208","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No","espaidedones@espaidedones.cat","No","No",,"No","No","No","No","Sí","No","Sabadell","Espai de Dones","No","No","No","No","93 716 85 14","Associacions/grup","No","No","No",
"Pl. Eusebi Güell 6-7, Edifici Vèrtex (UPC) planta 0","No","08034","No","Barcelonès","Sí","No","Barcelona","No","No","No","No","No","No","dona@pangea.org","No","No","93 401 18 91","No","No","No","No","No","No","Barcelona","Espai de Dones Pangea","No","No","No","No","93 401 56 64","Associacions/grup","No","No","No","http://www.pangea.org/dona"
"C. Paraguay, 27 Entresol 3r","No","08020","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","grupelles@gmail.com;","No","No",,"No","No","No","Sí","Sí","No","Barcelona","Espai Lèsbic Lambda d'Estudis. Grup Elles","No","No","No","No","646 842 752","Associacions/grup","No","No","No",
"Bloc Baix Penedès, esc A,1r,3a","No","43007","No","Tarragonès","No","Sí","Tarragona","No","No","No","No","No","No","esplaideladona@gmail.com","No","No",,"No","No","No","No","Sí","No","Sant Pere i Sant Pau - Tarragona","Esplai de la Dona de Sant Pere i Sant Pau","No","No","No","No","635791824","Associacions/grup","No","No","No",
"C. Verdaguer i Callis, 10","No","08003","Sí","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","familieslg@familieslg.org","No","No","93 725 41 50","No","No","No","Sí","No","No","Barcelona","Famílies Lesbianes de l'Associació de Famílies Lesbianes i Gais (AFLG)","No","No","No","No","645 318 860","Associacions/grup","No","No","No","http://www.familieslg.org"
"Erasme de Janer, 8","No","08001","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No",,"No","No","93 309 12 37","No","No","No","No","No","No","Barcelona","Federació Catalana de Famílies Monoparentals","No","Sí","No","No","93 446 41 77","Agrupacions d'entitats","No","No","No","http://www.familiesmonoparentals.org"
"C. Andana de l'Estació, 52, 4t 3a, esc. 3","No","08030","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","fedecata@grupslactancia.org","No","No",,"No","No","No","No","No","No","Barcelona","Federació Catalana de Grups de Suport a la Lactància Materna","No","No","No","No","690 144 700","Agrupacions d'entitats","Sí","No","No","http://www.grupslactancia.org"
"Av. de Francesc Macià, 54","No","25400","No","Garrigues","No","No","Lleida","No","No","No","No","No","No","donesgarrigues@hotmail.com","No","No","973 14 01 06","No","No","No","No","No","Sí","Les Borges Blanques","Federació d'Associacions de Dones de les Garrigues","No","No","No","No","973 14 26 58","Agrupacions d'entitats","No","No","No","http://www.donesgarrigues.blogspot.com"
"Av. Prat de la Riba, 1","No","25230","No","Pla d'Urgell","No","Sí","Lleida","No","No","No","No","No","No","federopla@gmail.com","No","No",,"No","No","No","No","Sí","No","Mollerussa","Federació d'Associacions de Dones del Pla d'Urgell. Consell de Dones del Pla d'Urgell","No","No","No","No","973711313","Agrupacions d'entitats","No","No","No",
"Av. de Pau Casals, 17 (Edifici Cambra de Comerç)","No","43003","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","adee@tinet.org","Sí","No","977 22 95 19","No","No","No","No","No","No","Tarragona","Federació d'Associacions d'Emprenedores Catalanes - FAEC","No","No","No","No","977 22 10 00","Agrupacions d'entitats","No","No","No","http://www.adeetgn.com"
"C. Comte d'Urgell, 272, entl. 2a","No","08036","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","fdicatalunya@hotmail.com","No","No",,"No","No","No","No","No","No","Barcelona","Federació de Dones de Catalunya per la Igualtat","Sí","No","No","No","650 728 318","Associacions/grup","No","No","No",
"Ctra. del Pla de Sta. Maria, 37 A","No","43800","No","Alt Camp","No","No","Tarragona","No","No","No","No","No","No","mariarosallurba@hotmail.com","No","No",,"No","No","No","No","No","No","Valls","Federació de Dones de l'Alt Camp","No","No","No","No","977 21 20 10","Agrupacions d'entitats","No","No","No",
"C. Dr. Ferran, 8","No","43202","No","Baix Camp","No","No","Tarragona","No","No","No","No","No","No","llampega61@hotmail.com","No","No","977 32 17 73","No","No","No","No","Sí","Sí","Reus","Federació de Dones del Baix Camp","No","No","No","No","626 921 487","Associacions/grup","No","No","No","http://www.baixcamp.cat/ASSOCIACIONS/Federacio_de_Dones_del_Baix_Ca.htm"
"Plaça de la Quartera, 1","No","43730","No","Priorat","No","No","Tarragona","No","No","No","No","No","No","rosafoschmulet@hotmail.es","No","No",,"No","No","No","No","Sí","No","Falset","Federació de Dones del Priorat","No","No","No","No","977831138","Associacions/grup","No","No","No",
"Pl. de les Escoles Velles s/n (Hotel d'entitats)","No","08630","No","Baix Llobregat","No","No","Barcelona","No","No","No","No","No","No","donesbx@gmail.com","No","No","93 772 98 12","No","No","No","No","No","No","Abrera","Federació de Dones per la Igualtat del Baix Llobregat","No","Sí","No","No","600 537 839","Associacions/grup","No","No","No","http://www.donesperlaigualtat.cat"
"C. de Tarragona, 20, esc. A, 4t 1a","No","43840","No","Tarragonès","No","No","Tarragona","No","No","No","No","No","No","ccardenas@gmail.com","No","No",,"No","No","No","No","No","No","Salou","Federació de Grups de Dones del Tarragonès","No","No","No","No","977 38 59 87","Associacions/grup","No","No","No",
"Roger de Llúria, 44, 3r 3a","No","08009","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","unae@unae.cat; secretaria@unae.cat","No","No","93 412 72 57","No","No","No","No","No","No","Barcelona","Federació de la Unió Cívica de Consumidors i Mestresses de Casa de Catalunya U.N.A.E.","No","Sí","No","No","93 301 26 27","Agrupacions d'entitats","No","No","No","http://www.unae.cat/"
"C. Bailen, 175","No","08037","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","assviudesbcn@gmail.com","No","No","93 587 97 45","No","No","No","No","No","No","Barcelona","Federació de les Associacions Catalanes de Viudes","No","No","No","Sí","93 587 97 45","Associacions/grup","No","No","No",
"C. Consell de Cent, 226, àtic, 3a","No","08011","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","focagg@focagg.e.telefonica.net","No","No","93 451 12 04","No","No","No","No","No","No","Barcelona","Federació d'Organitzacions Catalanes de Gent Gran, Dones i Família","No","Sí","No","No","93 451 12 04","Associacions/grup","No","No","No","http://www.focagg.org/"
"Ctra. Montcada, 30, 1r 1a","Sí","08223","No","Vallès Occidental","No","No","Barcelona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Terrassa","FÈMINA. Associació d'Artesanes, Creadores i Pintores","No","No","No","No","93 733 30 15","Associacions/grup","No","No","No",
"Camí dels Paperers, 6, 2n 4a","No","08770","No","Alt Penedès","No","No","Barcelona","No","No","No","No","No","No","rprat@uoc.edu","No","No",,"No","No","No","No","No","No","Sant Sadurní d'Anoia","Fòrum de Dones Progressistes","No","Sí","No","No","93 818 36 61","Associacions/grup","No","No","No",
"C. de Ramon Martí, 42, 1a Planta","No","08510","No","Osona","No","No","Barcelona","No","No","No","No","No","No","op.bueno@hotmail.com","No","No",,"No","No","No","No","Sí","No","Roda de Ter","Fòrum de Dones Roda de Ter","No","Sí","No","No","93 854 39 39","Associacions/grup","No","No","No",
"C. Gran de Gràcia, 77, pral. 1a","No","08012","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","aroa@fundacioaroa.org","No","No",,"No","No","No","No","No","No","Barcelona","Fundació Aroa","No","No","No","No","669 057 540","Associacions/grup","No","No","Sí","http://www.fundacioaroa.org/"
"Travessera de les Corts, 228 Bis","No","08028","No","Barcelonès","No","No","Barcelona","No","No","No","No","No","No","comunicacion@fidem.info;fidem@fidem.info; angeles.tejada@randstad.es","Sí","No","93 268 74 00","No","No","No","No","No","No","Barcelona","Fundació Internacional de la Dona Emprenedora -FIDEM-","No","No","No","No","93 310 31 66","Associacions/grup","No","No","No","http://www.fidem.info"
"c/ Sant Agustí, núm.12,4rt,1a","No","43003","Sí","Tarragonès","No","No","Tarragona","No","No","No","No","No","No",,"No","No",,"No","No","No","No","No","No","Tarragona","Fundació l'Heura Tarragona","No","No","No","No","977243212","Associacions/grup","No","No","No","http://www.heura.cat/"
